,movie_ids
1227,0086541
1228,0120844
1229,0069495
1230,1386932
1231,0014624
1232,1839492
1233,0057115
1234,0106673
1235,0421715
1236,0120586
1237,0290329
1238,0061199
1239,0055499
1240,1117523
1241,0114303
1242,1618442
1243,0475290
1244,0105698
1245,0120832
1246,2125608
1247,0123948
1248,0116361
1249,0070644
1250,0101902
1251,0361467
1252,0050084
1253,0117110
1254,0094754
1255,0315327
1256,1540128
1257,0113540
1258,0078163
1259,3816372
1260,0091829
1261,0142244
1262,0233841
1263,1951261
1264,0093818
1265,1462769
1266,0053168
1267,0361411
1268,1389096
1269,0906665
1270,1979320
1271,2084970
1272,0452624
1273,1292569
1274,0102768
1275,0162661
1276,0203119
1277,0411272
1278,0421206
1279,0093512
1280,0115710
1281,0102005
1282,1621046
1283,0025316
1284,0035015
1285,0248752
1286,0270288
1287,0265349
1288,0082085
1289,0283877
1290,0053146
1291,0493464
1292,0120152
1293,2555736
1294,2637294
1295,0088272
1296,0040458
1297,0086393
1298,0119345
1299,4287320
1300,0088275
1301,0039302
1302,0765458
1303,0119675
1304,0324127
1305,2061702
1306,0029192
1307,0244970
1308,0071571
1309,0104740
1310,0119177
1311,0373175
1312,0295701
1313,0079945
1314,0100530
1315,0055018
1316,0096943
1317,0146309
1318,2388725
1319,0365907
1320,5943936
1321,0086383
1322,2517558
1323,1226681
1324,0091635
1325,0110687
1326,0074119
1327,0243232
1328,0085868
1329,0262240
1330,0078723
1331,1990181
1332,2400291
1333,0104291
1334,0160127
1335,7738550
1336,0105151
1337,2053423
1338,0106262
1339,0219653
1340,0317910
1341,0346491
1342,0193364
1343,0110357
1344,0452694
1345,1291150
1346,0098073
1347,1619277
1348,2358925
1349,0106402
1350,0268978
1351,1231587
1352,1456635
1353,0106598
1354,0082198
1355,0300556
1356,0284837
1357,0156812
1358,2013293
1359,2967286
1360,0247425
1361,5688932
1362,2429074
1363,0145600
1364,0120823
1365,2381991
1366,0076085
1367,1772382
1368,0282856
1369,0414852
1370,0421239
1371,0067445
1372,0083967
1373,0436339
1374,0095897
1375,0097731
1376,0455944
1377,1323925
1378,0116287
1379,0133122
1380,1694020
1381,4465564
1382,0109306
1383,0039017
1384,0250081
1385,1139797
1386,0103873
1387,7681902
1388,0113986
1389,0046126
1390,0079817
1391,0089901
1392,2507238
1393,0106104
1394,0108394
1395,0884732
1396,2969050
1397,1216496
1398,0116311
1399,0210727
1400,0084210
1401,0051878
1402,0109120
1403,0157016
1404,0104905
1405,2986512
1406,1499658
1407,0307076
1408,0082970
1409,0050177
1410,1375666
1411,1133985
1412,0254099
1413,0112499
1414,1430612
1415,0464141
1416,1615918
1417,0099528
1418,0345853
1419,0028950
1420,0963794
1421,0438488
1422,0432348
1423,0107899
1424,0099878
1425,0013442
1426,1723121
1427,0112445
1428,1608290
1429,0120401
1430,0109655
1431,0174480
1432,4877122
1433,2028530
1434,0064615
1435,0349467
1436,0105156
1437,0105606
1438,0452608
1439,1118511
1440,3705412
1441,1632708
1442,0095977
1443,0824747
1444,3332064
1445,0408306
1446,0177789
1447,0053619
1448,0482527
1449,3703908
1450,0159273
1451,0239949
1452,0059592
1453,0494238
1454,0044744
1455,0245844
1456,0277027
1457,0103130
1458,0068182
1459,0033852
1460,0800080
1461,0251127
1462,0454864
1463,0369226
1464,0105682
1465,0116191
1466,0770703
1467,0061655
1468,0095145
1469,0291502
1470,0114814
1471,1817771
1472,0113026
1473,0369441
1474,0117477
1475,0145937
1476,0084865
1477,5359048
1478,0115813
1479,0120070
1480,0056142
1481,0043067
1482,0079180
1483,0093822
1484,0086927
1485,2193215
1486,1509767
1487,0120512
1488,0211181
1489,0117628
1490,0079679
1491,0970179
1492,1031969
1493,0047885
1494,0430304
1495,0107692
1496,1726738
1497,0087507
1498,0131646
1499,0058777
1500,0324080
1501,0100201
1502,0099740
1503,0064110
1504,0059124
1505,1572315
1506,4846232
1507,0091605
1508,0097778
1509,0339291
1510,0087747
1511,0862856
1512,0086425
1513,0120773
1514,0456912
1515,0395699
1516,0095613
1517,1183276
1518,0106677
1519,0021814
1520,2293640
1521,0410764
1522,0060345
1523,0366174
1524,2474024
1525,4763168
1526,0117876
1527,0208092
